HEADER
FILENAME:      /command13.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.632380e+002 ;  1.088062e+000 ;  1.038673e+000 ;  1.572060e-002 ;  1.044270e+000 ;  1.042556e+000 
 2.370150e+002 ;  1.210053e-001 ;  5.067944e-002 ;  6.484547e-002 ;  4.546686e-002 ;  4.519944e-002 
 2.912150e+002 ;  4.838066e-001 ;  3.404397e-001 ;  2.183910e+000 ;  3.186392e-001 ;  3.121098e-001 
 4.205310e+002 ;  2.360160e-001 ;  1.036578e-001 ;  5.012760e-002 ;  8.067189e-002 ;  9.254065e-002 
 4.217810e+002 ;  7.736465e-002 ;  7.373319e-002 ;  2.600056e-002 ;  7.491304e-002 ;  1.006475e-001 
 7.048700e+002 ;  2.579597e+000 ;  9.041806e-001 ;  7.669435e-002 ;  1.191614e+000 ;  1.411457e+000 
 7.399800e+002 ;  1.146600e+000 ;  1.689957e+000 ;  6.905808e-002 ;  1.685789e+000 ;  1.122831e+000 
 7.703660e+002 ;  5.566555e-002 ;  1.680010e-002 ;  2.128803e+000 ;  1.419581e-001 ;  1.863721e-001 
 8.327240e+002 ;  3.185556e-001 ;  3.511294e-001 ;  1.067611e-001 ;  6.715237e-002 ;  4.189278e-001 
