HEADER
FILENAME:      /command82.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.647180e+002 ;  1.029016e+000 ;  1.161844e+000 ;  5.649887e-002 ;  1.030773e+000 ;  1.035035e+000 
 2.382100e+002 ;  4.563121e-002 ;  4.982901e-002 ;  1.615567e-002 ;  4.553760e-002 ;  4.503237e-002 
 2.966070e+002 ;  3.570949e-001 ;  2.364357e-001 ;  2.206580e+000 ;  3.209567e-001 ;  3.624634e-001 
 4.217600e+002 ;  1.143874e-001 ;  4.979359e-002 ;  2.641512e-002 ;  5.219780e-002 ;  1.128441e-001 
 4.252820e+002 ;  4.869135e-002 ;  8.465051e-002 ;  9.852874e-002 ;  8.179948e-002 ;  7.695931e-002 
 7.361360e+002 ;  1.981575e+000 ;  3.993714e-001 ;  7.062125e-002 ;  3.669893e-001 ;  1.965636e+000 
 7.385510e+002 ;  4.134670e-001 ;  1.987157e+000 ;  6.150447e-001 ;  1.900155e+000 ;  2.915224e-001 
 7.669620e+002 ;  8.748069e-002 ;  3.277364e-001 ;  1.981542e+000 ;  7.196239e-001 ;  1.729555e-001 
 8.348140e+002 ;  1.144857e-001 ;  5.541728e-002 ;  1.589852e-002 ;  8.544490e-002 ;  1.680698e-001 
