HEADER
FILENAME:      /command15.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.597590e+002 ;  1.035987e+000 ;  1.017878e+000 ;  1.293871e-001 ;  1.017960e+000 ;  3.386583e+000 
 2.329680e+002 ;  4.429132e-002 ;  6.923824e-002 ;  1.500347e-001 ;  4.558299e-002 ;  1.514913e-001 
 2.833980e+002 ;  2.565231e-001 ;  3.625077e-001 ;  2.212133e+000 ;  3.370496e-001 ;  3.165057e+000 
 4.137690e+002 ;  9.105959e-002 ;  5.519790e-002 ;  5.909020e-002 ;  5.354264e-002 ;  9.605274e-002 
 4.156360e+002 ;  5.622376e-002 ;  9.617254e-002 ;  5.189480e-002 ;  7.724752e-002 ;  4.792016e+000 
 6.966320e+002 ;  1.478255e+000 ;  7.275349e-001 ;  4.543275e-001 ;  9.776788e-001 ;  7.510962e-002 
 7.236000e+002 ;  8.423250e-001 ;  1.764179e+000 ;  2.896583e-001 ;  1.752991e+000 ;  4.089430e+000 
 7.552010e+002 ;  7.067088e-001 ;  7.865093e-002 ;  1.997325e+000 ;  1.027895e-001 ;  3.137677e+000 
 8.214940e+002 ;  1.673978e-001 ;  3.819642e-001 ;  1.225299e-001 ;  2.908418e-001 ;  2.190124e-001 
