HEADER
FILENAME:      /command30.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.626330e+002 ;  1.043698e+000 ;  1.042948e+000 ;  3.790348e-002 ;  1.036530e+000 ;  1.093476e+000 
 2.320890e+002 ;  4.385535e-002 ;  4.832759e-002 ;  3.013365e-001 ;  8.105011e-002 ;  1.343473e-001 
 2.830500e+002 ;  2.773613e-001 ;  2.847072e-001 ;  2.169554e+000 ;  3.407256e-001 ;  4.741139e-001 
 4.158330e+002 ;  1.390603e-001 ;  3.876351e-002 ;  1.371913e-001 ;  1.041803e-001 ;  1.538287e-001 
 4.203790e+002 ;  9.414192e-002 ;  8.998249e-002 ;  2.931379e-002 ;  8.214703e-002 ;  1.547373e-001 
 6.893610e+002 ;  1.385963e+000 ;  1.232603e+000 ;  6.905126e-002 ;  7.588884e-001 ;  2.282822e+000 
 7.377810e+002 ;  1.054553e+000 ;  1.727071e+000 ;  1.037724e-001 ;  1.723023e+000 ;  1.069321e+000 
 7.665180e+002 ;  2.776299e-001 ;  1.127286e-001 ;  2.119286e+000 ;  4.602935e-002 ;  2.329635e-001 
 8.318750e+002 ;  3.812316e-001 ;  5.174219e-002 ;  1.472505e-001 ;  3.128992e-001 ;  1.708950e-001 
