HEADER
FILENAME:      /command32.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.628960e+002 ;  1.018206e+000 ;  1.054334e+000 ;  1.241922e-002 ;  1.035174e+000 ;  1.037264e+000 
 2.384230e+002 ;  4.643402e-002 ;  1.485991e-001 ;  1.201974e-001 ;  5.299118e-002 ;  4.552411e-002 
 2.872620e+002 ;  2.750391e-001 ;  5.238348e-001 ;  2.120451e+000 ;  3.174559e-001 ;  2.936080e-001 
 4.032370e+002 ;  1.254049e-001 ;  4.661161e-001 ;  3.196081e-001 ;  1.565975e-001 ;  1.227122e-001 
 4.230530e+002 ;  1.288599e-001 ;  7.462163e-002 ;  3.406928e-002 ;  4.958142e-002 ;  1.325391e-001 
 6.966120e+002 ;  2.302051e-001 ;  2.569705e+000 ;  9.770451e-001 ;  1.394404e+000 ;  4.736196e-001 
 7.354740e+002 ;  1.984684e+000 ;  2.732287e-001 ;  8.395699e-002 ;  2.138844e-001 ;  1.983411e+000 
 7.586950e+002 ;  3.428414e-001 ;  7.277744e-001 ;  1.946722e+000 ;  9.272470e-001 ;  5.568865e-002 
 8.352160e+002 ;  2.134100e-001 ;  6.451912e-002 ;  1.500824e-001 ;  1.424713e-001 ;  8.447292e-002 
