HEADER
FILENAME:      /command8.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.633150e+002 ;  1.084719e+000 ;  1.039531e+000 ;  2.075399e-002 ;  1.035545e+000 ;  1.041384e+000 
 2.350350e+002 ;  2.693972e-001 ;  4.487395e-002 ;  1.449557e-001 ;  5.751060e-002 ;  4.439414e-002 
 2.874050e+002 ;  7.113335e-001 ;  2.913146e-001 ;  2.151031e+000 ;  3.372101e-001 ;  2.971214e-001 
 4.149560e+002 ;  5.803999e-001 ;  4.414356e-002 ;  1.595579e-001 ;  9.131914e-002 ;  1.459565e-001 
 4.208550e+002 ;  4.779732e-002 ;  9.536727e-002 ;  2.583018e-002 ;  9.285536e-002 ;  7.840560e-002 
 6.738310e+002 ;  3.232571e+000 ;  1.237965e+000 ;  3.594942e-001 ;  7.263786e-001 ;  1.208710e+000 
 7.381670e+002 ;  1.239578e+000 ;  1.668154e+000 ;  8.145346e-002 ;  1.692820e+000 ;  1.117465e+000 
 7.668290e+002 ;  2.235371e-001 ;  9.721179e-002 ;  2.134806e+000 ;  1.353981e-001 ;  6.038789e-002 
 8.259740e+002 ;  4.888832e-001 ;  1.168915e-001 ;  8.793208e-002 ;  5.379006e-001 ;  6.278068e-001 
