HEADER
FILENAME:      /command34.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.619880e+002 ;  1.037297e+000 ;  1.044350e+000 ;  5.150699e-002 ;  1.072059e+000 ;  1.037918e+000 
 2.269020e+002 ;  7.541752e-002 ;  4.484370e-002 ;  5.162572e-001 ;  1.229668e-001 ;  9.989586e-002 
 2.792950e+002 ;  2.843016e-001 ;  2.671227e-001 ;  2.120106e+000 ;  3.644151e-001 ;  3.171892e-001 
 4.075850e+002 ;  3.778669e-002 ;  1.663673e-001 ;  2.646071e-001 ;  1.085060e-001 ;  1.402076e-001 
 4.187170e+002 ;  9.618074e-002 ;  9.053407e-002 ;  2.793591e-002 ;  1.281313e-001 ;  7.527695e-002 
 7.077160e+002 ;  1.145264e+000 ;  1.520833e+000 ;  1.265591e-001 ;  2.047822e+000 ;  6.460144e-001 
 7.359240e+002 ;  1.812705e+000 ;  9.340033e-001 ;  6.978519e-002 ;  8.755160e-001 ;  1.781430e+000 
 7.678610e+002 ;  7.126309e-002 ;  4.577674e-002 ;  2.148451e+000 ;  1.079486e-001 ;  1.146403e-001 
 8.288860e+002 ;  8.474969e-002 ;  4.786386e-001 ;  2.388973e-002 ;  1.380990e-001 ;  3.486759e-001 
