HEADER
FILENAME:      /command19.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.618410e+002 ;  1.030900e+000 ;  1.043339e+000 ;  5.674844e-002 ;  1.124215e+000 ;  1.044389e+000 
 2.345480e+002 ;  7.379198e-002 ;  4.571304e-002 ;  1.855095e-001 ;  1.121386e-001 ;  4.821926e-002 
 2.837940e+002 ;  3.682258e-001 ;  2.722406e-001 ;  2.206715e+000 ;  5.474672e-001 ;  3.057223e-001 
 4.199110e+002 ;  1.168386e-001 ;  6.421591e-002 ;  2.996630e-002 ;  6.085448e-002 ;  1.029550e-001 
 4.202590e+002 ;  5.840565e-002 ;  1.155401e-001 ;  3.596630e-002 ;  1.738401e-001 ;  6.280295e-002 
 6.905470e+002 ;  9.112797e-001 ;  1.396695e+000 ;  2.713366e-001 ;  2.375703e+000 ;  1.186278e+000 
 7.368820e+002 ;  1.694498e+000 ;  1.079577e+000 ;  2.297939e-001 ;  1.182208e+000 ;  1.681355e+000 
 7.619540e+002 ;  3.169105e-002 ;  5.844535e-001 ;  2.062490e+000 ;  4.891397e-001 ;  1.403876e-001 
 8.368480e+002 ;  1.187491e-001 ;  1.251738e-001 ;  1.091475e-001 ;  8.275232e-002 ;  6.054702e-002 
