HEADER
FILENAME:      /command43.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.636580e+002 ;  1.043314e+000 ;  9.174824e-004 ;  1.042924e+000 ;  1.043443e+000 ;  3.322873e+000 
 2.381020e+002 ;  4.523489e-002 ;  2.310785e-002 ;  4.545435e-002 ;  4.518848e-002 ;  1.904370e-001 
 2.923620e+002 ;  3.213084e-001 ;  2.187770e+000 ;  3.312674e-001 ;  3.244175e-001 ;  3.475287e+000 
 4.212900e+002 ;  5.076788e-002 ;  4.041171e-002 ;  5.958848e-002 ;  1.268067e-001 ;  1.040564e+000 
 4.224170e+002 ;  1.166995e-001 ;  2.619386e-002 ;  1.173210e-001 ;  5.784878e-002 ;  4.630127e+000 
 7.272130e+002 ;  1.056671e+000 ;  1.134802e-001 ;  9.178371e-001 ;  1.654901e+000 ;  1.653627e+000 
 7.403940e+002 ;  1.761087e+000 ;  6.991706e-002 ;  1.765430e+000 ;  1.004550e+000 ;  3.422716e+000 
 7.716870e+002 ;  8.720282e-002 ;  2.144880e+000 ;  8.638439e-002 ;  5.426097e-002 ;  3.504716e+000 
 8.397690e+002 ;  5.282225e-002 ;  2.114707e-002 ;  1.035955e-001 ;  1.261973e-001 ;  4.381280e-001 
