HEADER
FILENAME:      /command28.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.636700e+002 ;  1.045662e+000 ;  1.043594e+000 ;  1.351162e-003 ;  1.043085e+000 ;  1.043493e+000 
 2.382390e+002 ;  4.795143e-002 ;  4.524119e-002 ;  1.815116e-002 ;  4.543004e-002 ;  4.521307e-002 
 2.927040e+002 ;  3.585781e-001 ;  3.245158e-001 ;  2.191800e+000 ;  3.325384e-001 ;  3.253736e-001 
 4.220090e+002 ;  1.370597e-001 ;  5.433332e-002 ;  2.999628e-002 ;  5.856397e-002 ;  1.224445e-001 
 4.224860e+002 ;  5.846024e-002 ;  1.177728e-001 ;  2.623679e-002 ;  1.178236e-001 ;  5.827800e-002 
 7.322530e+002 ;  1.851067e+000 ;  1.090604e+000 ;  6.950182e-002 ;  1.021525e+000 ;  1.668107e+000 
 7.405460e+002 ;  1.069116e+000 ;  1.726700e+000 ;  6.900877e-002 ;  1.728441e+000 ;  1.066202e+000 
 7.719470e+002 ;  4.795109e-002 ;  1.107128e-001 ;  2.137691e+000 ;  4.465707e-002 ;  1.351517e-001 
 8.405950e+002 ;  5.361607e-002 ;  5.338430e-002 ;  1.632828e-002 ;  6.655203e-002 ;  7.202435e-002 
