HEADER
FILENAME:      /command95.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.639380e+002 ;  1.039105e+000 ;  1.037395e+000 ;  2.244699e-002 ;  1.036765e+000 ;  1.095156e+000 
 2.382260e+002 ;  4.517235e-002 ;  4.523443e-002 ;  4.271264e-003 ;  4.522614e-002 ;  4.547511e-002 
 2.937320e+002 ;  3.238467e-001 ;  3.358337e-001 ;  2.193420e+000 ;  3.345952e-001 ;  3.274188e-001 
 4.214330e+002 ;  1.137739e-001 ;  5.012584e-002 ;  2.585585e-002 ;  4.920195e-002 ;  8.722401e-002 
 4.221590e+002 ;  4.975471e-002 ;  1.184021e-001 ;  2.617280e-002 ;  1.174711e-001 ;  4.932864e-002 
 7.353400e+002 ;  1.926697e+000 ;  4.233235e-001 ;  7.567377e-002 ;  4.785560e-001 ;  2.122037e+000 
 7.377470e+002 ;  4.487461e-001 ;  1.971019e+000 ;  6.919786e-002 ;  1.965058e+000 ;  4.720289e-001 
 7.675260e+002 ;  1.176529e-001 ;  9.902770e-002 ;  2.126480e+000 ;  1.045844e-001 ;  6.626826e-002 
 8.380140e+002 ;  5.866147e-002 ;  9.844816e-002 ;  8.628419e-003 ;  8.450365e-002 ;  5.264915e-002 
