HEADER
FILENAME:      /command37.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.634950e+002 ;  1.041197e+000 ;  1.049525e+000 ;  5.319786e-003 ;  1.043321e+000 ;  1.042725e+000 
 2.382450e+002 ;  4.526986e-002 ;  4.561152e-002 ;  8.479518e-003 ;  4.520543e-002 ;  4.524151e-002 
 2.928200e+002 ;  3.302203e-001 ;  3.535457e-001 ;  2.195510e+000 ;  3.260459e-001 ;  3.292730e-001 
 4.215740e+002 ;  5.340880e-002 ;  1.367581e-001 ;  2.868131e-002 ;  1.209104e-001 ;  5.067952e-002 
 4.222680e+002 ;  1.182745e-001 ;  5.647929e-002 ;  2.654819e-002 ;  5.286214e-002 ;  1.205017e-001 
 7.370510e+002 ;  6.140369e-001 ;  2.012222e+000 ;  7.055968e-002 ;  1.900352e+000 ;  6.474181e-001 
 7.392610e+002 ;  1.932888e+000 ;  6.410072e-001 ;  6.911929e-002 ;  6.288483e-001 ;  1.920771e+000 
 7.713120e+002 ;  7.206100e-002 ;  5.096293e-002 ;  2.140630e+000 ;  1.130260e-001 ;  9.249783e-002 
 8.400170e+002 ;  5.583716e-002 ;  5.396990e-002 ;  1.530946e-002 ;  5.509627e-002 ;  6.122547e-002 
