HEADER
FILENAME:      /command89.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.636730e+002 ;  1.042634e+000 ;  1.043313e+000 ;  2.314793e-003 ;  1.048633e+000 ;  1.042695e+000 
 2.381860e+002 ;  4.530063e-002 ;  4.517852e-002 ;  1.505184e-002 ;  5.444840e-002 ;  4.522900e-002 
 2.929030e+002 ;  3.301566e-001 ;  3.269242e-001 ;  2.192260e+000 ;  3.818840e-001 ;  3.254616e-001 
 4.214800e+002 ;  6.373388e-002 ;  1.209205e-001 ;  3.354499e-002 ;  1.735316e-001 ;  5.516919e-002 
 4.223430e+002 ;  1.146468e-001 ;  6.081320e-002 ;  2.619941e-002 ;  5.803829e-002 ;  1.137795e-001 
 7.338140e+002 ;  9.324946e-001 ;  1.712770e+000 ;  9.979755e-002 ;  2.031712e+000 ;  1.024089e+000 
 7.400790e+002 ;  1.775612e+000 ;  9.841533e-001 ;  6.988040e-002 ;  1.012232e+000 ;  1.770996e+000 
 7.715260e+002 ;  1.032295e-001 ;  3.026305e-002 ;  2.145901e+000 ;  9.078441e-002 ;  7.868694e-002 
 8.396020e+002 ;  9.481168e-002 ;  1.056551e-001 ;  7.942211e-003 ;  8.569648e-002 ;  5.310485e-002 
