HEADER
FILENAME:      /command92.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.635720e+002 ;  1.042786e+000 ;  1.048647e+000 ;  5.366276e-003 ;  1.043651e+000 ;  1.043615e+000 
 2.378970e+002 ;  4.581130e-002 ;  4.798939e-002 ;  3.531459e-002 ;  4.514278e-002 ;  4.524802e-002 
 2.920840e+002 ;  3.321714e-001 ;  3.538118e-001 ;  2.197540e+000 ;  3.226356e-001 ;  3.236471e-001 
 4.218800e+002 ;  7.507667e-002 ;  1.208213e-001 ;  3.049444e-002 ;  1.145511e-001 ;  6.671093e-002 
 4.223450e+002 ;  1.080653e-001 ;  7.250544e-002 ;  2.618970e-002 ;  7.248361e-002 ;  1.063398e-001 
 7.335510e+002 ;  8.990254e-001 ;  1.866989e+000 ;  1.156981e-001 ;  1.743768e+000 ;  9.758679e-001 
 7.402810e+002 ;  1.798768e+000 ;  9.493535e-001 ;  6.947523e-002 ;  9.409390e-001 ;  1.797897e+000 
 7.713890e+002 ;  1.978425e-002 ;  7.851716e-003 ;  2.133903e+000 ;  2.016877e-001 ;  1.167920e-001 
 8.403140e+002 ;  7.295217e-002 ;  5.443740e-002 ;  2.811583e-002 ;  7.931332e-002 ;  5.322088e-002 
