HEADER
FILENAME:      /command32.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.634710e+002 ;  1.041758e+000 ;  1.051379e+000 ;  6.736043e-003 ;  1.043120e+000 ;  1.042586e+000 
 2.383600e+002 ;  4.528006e-002 ;  4.635359e-002 ;  1.236768e-002 ;  4.520135e-002 ;  4.534819e-002 
 2.931310e+002 ;  3.305940e-001 ;  3.405096e-001 ;  2.195850e+000 ;  3.258559e-001 ;  3.320263e-001 
 4.218410e+002 ;  8.618207e-002 ;  9.429625e-002 ;  2.617542e-002 ;  9.435384e-002 ;  8.483604e-002 
 4.222030e+002 ;  9.591695e-002 ;  9.717774e-002 ;  2.719730e-002 ;  8.869991e-002 ;  9.997690e-002 
 7.373870e+002 ;  5.851132e-001 ;  2.000790e+000 ;  8.407201e-002 ;  1.919296e+000 ;  5.547035e-001 
 7.399490e+002 ;  1.947511e+000 ;  5.769951e-001 ;  6.913614e-002 ;  5.713782e-001 ;  1.945633e+000 
 7.714640e+002 ;  9.033597e-002 ;  2.651418e-002 ;  2.136501e+000 ;  1.478896e-001 ;  6.807150e-002 
 8.392100e+002 ;  5.290966e-002 ;  5.497723e-002 ;  3.906267e-002 ;  8.559312e-002 ;  7.415961e-002 
