HEADER
FILENAME:      /command25.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.635890e+002 ;  1.043072e+000 ;  1.041916e+000 ;  4.259433e-003 ;  1.043155e+000 ;  1.052804e+000 
 2.384410e+002 ;  4.524196e-002 ;  4.531277e-002 ;  2.330317e-003 ;  4.521253e-002 ;  4.510006e-002 
 2.933970e+002 ;  3.275867e-001 ;  3.317716e-001 ;  2.195600e+000 ;  3.302786e-001 ;  3.419576e-001 
 4.221130e+002 ;  1.189752e-001 ;  5.215211e-002 ;  2.623764e-002 ;  5.131007e-002 ;  1.180066e-001 
 4.224630e+002 ;  5.153687e-002 ;  1.203427e-001 ;  2.618893e-002 ;  1.202786e-001 ;  5.135163e-002 
 7.372290e+002 ;  1.795063e+000 ;  8.714860e-001 ;  8.006698e-002 ;  8.985111e-001 ;  1.905719e+000 
 7.402220e+002 ;  8.877367e-001 ;  1.825167e+000 ;  6.936140e-002 ;  1.823274e+000 ;  9.005604e-001 
 7.714130e+002 ;  1.401586e-001 ;  6.189886e-002 ;  2.136561e+000 ;  9.848233e-002 ;  4.731403e-002 
 8.405150e+002 ;  5.657365e-002 ;  5.862333e-002 ;  6.339689e-004 ;  5.428980e-002 ;  5.345545e-002 
