HEADER
FILENAME:      /command42.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.633860e+002 ;  1.041009e+000 ;  1.067594e+000 ;  1.040606e-002 ;  1.043339e+000 ;  1.043567e+000 
 2.378910e+002 ;  4.630422e-002 ;  5.780734e-002 ;  3.019134e-002 ;  4.517826e-002 ;  4.521528e-002 
 2.919490e+002 ;  3.358258e-001 ;  4.060621e-001 ;  2.194250e+000 ;  3.191820e-001 ;  3.246196e-001 
 4.218170e+002 ;  6.094009e-002 ;  1.386100e-001 ;  2.906764e-002 ;  1.191583e-001 ;  5.651490e-002 
 4.222760e+002 ;  1.151347e-001 ;  5.614017e-002 ;  2.638119e-002 ;  5.852532e-002 ;  1.130284e-001 
 7.273880e+002 ;  9.355621e-001 ;  2.104393e+000 ;  1.257849e-001 ;  1.657847e+000 ;  1.048235e+000 
 7.399380e+002 ;  1.762171e+000 ;  1.036794e+000 ;  7.063112e-002 ;  1.006685e+000 ;  1.758527e+000 
 7.706720e+002 ;  8.488977e-003 ;  1.069273e-002 ;  2.124106e+000 ;  2.482726e-001 ;  1.387661e-001 
 8.397520e+002 ;  9.357910e-002 ;  6.843797e-002 ;  3.502350e-002 ;  1.016438e-001 ;  5.400082e-002 
