HEADER
FILENAME:      /command90.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.636400e+002 ;  1.042190e+000 ;  1.040838e+000 ;  9.126042e-003 ;  1.041248e+000 ;  1.065176e+000 
 2.382690e+002 ;  4.518374e-002 ;  4.523059e-002 ;  1.324771e-002 ;  4.537090e-002 ;  4.886878e-002 
 2.933120e+002 ;  3.260657e-001 ;  3.295104e-001 ;  2.194290e+000 ;  3.331188e-001 ;  3.464152e-001 
 4.217540e+002 ;  1.193570e-001 ;  4.929205e-002 ;  2.681595e-002 ;  4.973520e-002 ;  1.164848e-001 
 4.221730e+002 ;  4.950313e-002 ;  1.170078e-001 ;  2.704845e-002 ;  1.202963e-001 ;  5.489141e-002 
 7.350800e+002 ;  1.657848e+000 ;  1.118407e+000 ;  7.143041e-002 ;  1.062841e+000 ;  1.847773e+000 
 7.398120e+002 ;  1.097298e+000 ;  1.700749e+000 ;  6.893848e-002 ;  1.705656e+000 ;  1.114606e+000 
 7.704110e+002 ;  1.140535e-001 ;  1.091904e-001 ;  2.136210e+000 ;  6.676818e-002 ;  6.358795e-002 
 8.385550e+002 ;  1.103346e-001 ;  5.635000e-002 ;  3.433769e-002 ;  1.096475e-001 ;  7.573860e-002 
