HEADER
FILENAME:      /command27.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.635660e+002 ;  1.041777e+000 ;  1.057627e+000 ;  5.268963e-003 ;  1.043271e+000 ;  1.043595e+000 
 2.381310e+002 ;  4.570084e-002 ;  5.372322e-002 ;  1.898479e-002 ;  4.519741e-002 ;  4.520510e-002 
 2.926620e+002 ;  3.336583e-001 ;  3.887418e-001 ;  2.192270e+000 ;  3.236922e-001 ;  3.257450e-001 
 4.219300e+002 ;  6.199230e-002 ;  1.481742e-001 ;  2.900958e-002 ;  1.192023e-001 ;  5.725820e-002 
 4.223810e+002 ;  1.152908e-001 ;  5.148572e-002 ;  2.625239e-002 ;  6.017595e-002 ;  1.140468e-001 
 7.295020e+002 ;  9.715945e-001 ;  2.062631e+000 ;  6.977199e-002 ;  1.654990e+000 ;  1.072900e+000 
 7.402990e+002 ;  1.745422e+000 ;  1.052177e+000 ;  6.904001e-002 ;  1.037008e+000 ;  1.742698e+000 
 7.714460e+002 ;  4.389828e-002 ;  5.713943e-002 ;  2.136161e+000 ;  1.477977e-001 ;  1.125009e-001 
 8.398080e+002 ;  9.425373e-002 ;  8.625629e-002 ;  2.514656e-002 ;  1.072692e-001 ;  5.333632e-002 
