HEADER
FILENAME:      /command43.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.631870e+002 ;  1.159683e+000 ;  1.035891e+000 ;  5.922693e-002 ;  1.021188e+000 ;  1.032318e+000 
 2.381200e+002 ;  7.999888e-002 ;  4.487033e-002 ;  6.032234e-002 ;  4.555910e-002 ;  4.626632e-002 
 2.942150e+002 ;  3.016860e-001 ;  3.573290e-001 ;  2.194990e+000 ;  3.419017e-001 ;  3.122934e-001 
 4.192090e+002 ;  4.244876e-002 ;  4.990203e-002 ;  3.107806e-002 ;  4.839955e-002 ;  8.657799e-002 
 4.214980e+002 ;  9.124658e-002 ;  1.271236e-001 ;  4.761079e-002 ;  1.115390e-001 ;  4.947123e-002 
 7.269150e+002 ;  2.141720e+000 ;  6.495821e-001 ;  3.753223e-001 ;  6.856662e-001 ;  1.760331e+000 
 7.376040e+002 ;  6.640486e-001 ;  1.856843e+000 ;  3.146156e-001 ;  1.926987e+000 ;  6.335341e-001 
 7.605810e+002 ;  3.356698e-001 ;  2.450298e-001 ;  2.011693e+000 ;  4.266796e-002 ;  5.770749e-001 
 8.335050e+002 ;  5.999420e-002 ;  2.042410e-001 ;  1.115448e-001 ;  7.153282e-002 ;  2.205449e-001 
