HEADER
FILENAME:      /command27.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.634000e+002 ;  1.038431e+000 ;  1.060071e+000 ;  8.779127e-003 ;  1.042559e+000 ;  1.043456e+000 
 2.369930e+002 ;  4.973465e-002 ;  1.109439e-001 ;  7.245563e-002 ;  4.490553e-002 ;  4.508045e-002 
 2.897080e+002 ;  3.401507e-001 ;  5.049676e-001 ;  2.167531e+000 ;  3.076825e-001 ;  3.062930e-001 
 4.192620e+002 ;  8.687253e-002 ;  2.831007e-001 ;  7.677219e-002 ;  1.237309e-001 ;  5.242896e-002 
 4.211610e+002 ;  9.977725e-002 ;  6.784405e-002 ;  3.163747e-002 ;  8.645476e-002 ;  1.028939e-001 
 6.868350e+002 ;  8.280514e-001 ;  2.558911e+000 ;  2.308656e-001 ;  1.321225e+000 ;  1.174868e+000 
 7.396970e+002 ;  1.698216e+000 ;  1.121978e+000 ;  1.008199e-001 ;  1.112578e+000 ;  1.679844e+000 
 7.662460e+002 ;  1.140838e-002 ;  1.819898e-001 ;  2.117023e+000 ;  6.175134e-002 ;  1.971207e-001 
 8.305410e+002 ;  3.515513e-001 ;  2.578932e-001 ;  2.109780e-001 ;  3.857693e-001 ;  9.780926e-002 
