HEADER
FILENAME:      /command74.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.629480e+002 ;  1.043578e+000 ;  1.044483e+000 ;  6.480363e-003 ;  1.046259e+000 ;  1.048677e+000 
 2.320710e+002 ;  4.490167e-002 ;  4.679915e-002 ;  3.597617e-001 ;  1.416581e-001 ;  1.137221e-001 
 2.794390e+002 ;  2.579220e-001 ;  2.663989e-001 ;  2.162221e+000 ;  4.517190e-001 ;  4.089125e-001 
 4.177850e+002 ;  1.095417e-001 ;  1.183200e-001 ;  1.269238e-001 ;  1.635864e-001 ;  1.190102e-001 
 4.202980e+002 ;  7.725506e-002 ;  1.000634e-001 ;  3.581400e-002 ;  1.125236e-001 ;  1.041435e-001 
 6.684200e+002 ;  1.286879e+000 ;  1.312835e+000 ;  7.286353e-002 ;  1.596044e+000 ;  1.310834e+000 
 7.385930e+002 ;  1.424165e+000 ;  1.361307e+000 ;  2.825399e-001 ;  1.449359e+000 ;  1.503933e+000 
 7.461690e+002 ;  4.815672e-001 ;  1.113608e-001 ;  2.184305e+000 ;  1.304614e-001 ;  3.796730e-001 
 8.388510e+002 ;  6.086278e-002 ;  8.324111e-002 ;  6.810749e-002 ;  5.517471e-002 ;  7.910382e-002 
