HEADER
FILENAME:      /command79.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.648280e+002 ;  1.026134e+000 ;  1.026770e+000 ;  6.083430e-002 ;  1.159742e+000 ;  1.009614e+000 
 2.383990e+002 ;  4.519207e-002 ;  4.805664e-002 ;  6.844706e-002 ;  9.391747e-002 ;  4.590120e-002 
 2.891500e+002 ;  3.105524e-001 ;  3.051247e-001 ;  2.123930e+000 ;  4.735420e-001 ;  2.983103e-001 
 4.054860e+002 ;  1.115995e-001 ;  1.504783e-001 ;  2.798610e-001 ;  4.215697e-001 ;  1.142808e-001 
 4.226560e+002 ;  1.247677e-001 ;  4.963642e-002 ;  2.775929e-002 ;  5.844010e-002 ;  1.242620e-001 
 6.787450e+002 ;  6.303163e-001 ;  1.212529e+000 ;  9.937419e-001 ;  2.705404e+000 ;  1.905211e-001 
 7.347390e+002 ;  1.965100e+000 ;  3.577753e-001 ;  8.742305e-002 ;  4.141226e-001 ;  1.967241e+000 
 7.535480e+002 ;  2.307709e-002 ;  9.483032e-001 ;  1.899984e+000 ;  8.221505e-001 ;  4.248341e-001 
 8.332250e+002 ;  5.693908e-002 ;  3.393929e-001 ;  1.865001e-001 ;  1.315876e-001 ;  3.295924e-001 
