HEADER
FILENAME:      /command58.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.636590e+002 ;  1.045720e+000 ;  1.043525e+000 ;  2.969167e-003 ;  1.043335e+000 ;  1.043592e+000 
 2.384610e+002 ;  4.531796e-002 ;  4.525030e-002 ;  8.534453e-004 ;  4.525731e-002 ;  4.524313e-002 
 2.933200e+002 ;  3.350404e-001 ;  3.301386e-001 ;  2.198190e+000 ;  3.310562e-001 ;  3.281246e-001 
 4.224570e+002 ;  1.083336e-001 ;  7.402697e-002 ;  2.620863e-002 ;  7.387168e-002 ;  1.082473e-001 
 4.225120e+002 ;  7.461040e-002 ;  1.087589e-001 ;  2.623423e-002 ;  1.082499e-001 ;  7.430167e-002 
 7.394990e+002 ;  1.907083e+000 ;  7.441428e-001 ;  7.968979e-002 ;  7.327701e-001 ;  1.881512e+000 
 7.404220e+002 ;  7.408243e-001 ;  1.890053e+000 ;  6.920365e-002 ;  1.892054e+000 ;  7.384009e-001 
 7.719650e+002 ;  5.108185e-002 ;  8.796953e-002 ;  2.141300e+000 ;  6.470702e-002 ;  1.271804e-001 
 8.409790e+002 ;  5.370504e-002 ;  5.389490e-002 ;  1.258852e-003 ;  5.367930e-002 ;  5.373106e-002 
