HEADER
FILENAME:      /command83.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.637400e+002 ;  1.043764e+000 ;  1.043484e+000 ;  1.411010e-004 ;  1.043474e+000 ;  1.043534e+000 
 2.384990e+002 ;  4.536474e-002 ;  4.525722e-002 ;  2.720756e-003 ;  4.525394e-002 ;  4.524062e-002 
 2.935270e+002 ;  3.334350e-001 ;  3.294855e-001 ;  2.196150e+000 ;  3.302256e-001 ;  3.298191e-001 
 4.223940e+002 ;  1.214234e-001 ;  5.582136e-002 ;  2.649305e-002 ;  5.701665e-002 ;  1.195803e-001 
 4.225170e+002 ;  5.645989e-002 ;  1.183907e-001 ;  2.622670e-002 ;  1.185899e-001 ;  5.649799e-002 
 7.398780e+002 ;  1.823947e+000 ;  9.183612e-001 ;  6.910783e-002 ;  9.081419e-001 ;  1.806865e+000 
 7.405730e+002 ;  9.153858e-001 ;  1.813105e+000 ;  6.904479e-002 ;  1.813707e+000 ;  9.131128e-001 
 7.723690e+002 ;  8.246580e-002 ;  8.425683e-002 ;  2.143680e+000 ;  7.978840e-002 ;  8.202716e-002 
 8.409730e+002 ;  5.373125e-002 ;  5.358398e-002 ;  1.300493e-003 ;  5.431414e-002 ;  5.419276e-002 
