HEADER
FILENAME:      /command78.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.636830e+002 ;  1.044572e+000 ;  1.043375e+000 ;  2.002623e-003 ;  1.043324e+000 ;  1.043553e+000 
 2.383850e+002 ;  4.544816e-002 ;  4.525538e-002 ;  9.081809e-003 ;  4.527891e-002 ;  4.520817e-002 
 2.933130e+002 ;  3.326853e-001 ;  3.295613e-001 ;  2.196560e+000 ;  3.306619e-001 ;  3.283545e-001 
 4.222290e+002 ;  6.248520e-002 ;  1.137218e-001 ;  2.679505e-002 ;  1.172440e-001 ;  6.246679e-002 
 4.224100e+002 ;  1.175053e-001 ;  6.123274e-002 ;  2.627312e-002 ;  6.053014e-002 ;  1.164575e-001 
 7.395390e+002 ;  1.934439e+000 ;  6.478673e-001 ;  6.948206e-002 ;  6.323340e-001 ;  1.918140e+000 
 7.404880e+002 ;  6.417819e-001 ;  1.927752e+000 ;  6.905088e-002 ;  1.926432e+000 ;  6.393818e-001 
 7.723000e+002 ;  7.037456e-002 ;  8.096601e-002 ;  2.142540e+000 ;  8.013294e-002 ;  9.584627e-002 
 8.405390e+002 ;  5.412184e-002 ;  5.374308e-002 ;  8.049375e-003 ;  5.628197e-002 ;  5.860125e-002 
