HEADER
FILENAME:      /command50.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.636740e+002 ;  1.043473e+000 ;  1.043115e+000 ;  2.043345e-003 ;  1.043244e+000 ;  1.044892e+000 
 2.384050e+002 ;  4.520983e-002 ;  4.526059e-002 ;  8.415499e-003 ;  4.527261e-002 ;  4.555827e-002 
 2.933750e+002 ;  3.285233e-001 ;  3.296640e-001 ;  2.196010e+000 ;  3.308249e-001 ;  3.332551e-001 
 4.222030e+002 ;  5.638487e-002 ;  1.167651e-001 ;  2.685354e-002 ;  1.197454e-001 ;  5.735857e-002 
 4.223580e+002 ;  1.192041e-001 ;  5.559794e-002 ;  2.628520e-002 ;  5.462359e-002 ;  1.216393e-001 
 7.393460e+002 ;  1.824832e+000 ;  8.762579e-001 ;  6.886645e-002 ;  8.582956e-001 ;  1.847335e+000 
 7.405190e+002 ;  8.674860e-001 ;  1.835955e+000 ;  6.896158e-002 ;  1.835235e+000 ;  8.698312e-001 
 7.723040e+002 ;  8.536669e-002 ;  8.183832e-002 ;  2.142820e+000 ;  8.314860e-002 ;  7.596130e-002 
 8.402000e+002 ;  6.307696e-002 ;  5.343926e-002 ;  8.252678e-003 ;  5.947320e-002 ;  5.413675e-002 
