HEADER
FILENAME:      /command18.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.637020e+002 ;  1.044213e+000 ;  1.043105e+000 ;  1.232580e-003 ;  1.043344e+000 ;  1.043433e+000 
 2.384260e+002 ;  4.552909e-002 ;  4.528391e-002 ;  8.597443e-003 ;  4.525457e-002 ;  4.521453e-002 
 2.934330e+002 ;  3.314400e-001 ;  3.293934e-001 ;  2.195530e+000 ;  3.306400e-001 ;  3.290800e-001 
 4.221000e+002 ;  7.424393e-002 ;  1.074640e-001 ;  2.735433e-002 ;  1.112235e-001 ;  7.361495e-002 
 4.223760e+002 ;  1.116478e-001 ;  7.212356e-002 ;  2.625764e-002 ;  7.094612e-002 ;  1.100034e-001 
 7.397890e+002 ;  1.782430e+000 ;  9.870027e-001 ;  7.246009e-002 ;  9.719268e-001 ;  1.771455e+000 
 7.406970e+002 ;  9.795713e-001 ;  1.778317e+000 ;  6.914864e-002 ;  1.778718e+000 ;  9.796297e-001 
 7.723230e+002 ;  9.579747e-002 ;  7.989811e-002 ;  2.144070e+000 ;  9.121048e-002 ;  5.997681e-002 
 8.402090e+002 ;  5.407047e-002 ;  5.346641e-002 ;  1.636696e-003 ;  5.757597e-002 ;  6.048796e-002 
