HEADER
FILENAME:      /command20.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.636950e+002 ;  1.043463e+000 ;  1.043344e+000 ;  1.641584e-003 ;  1.043234e+000 ;  1.045782e+000 
 2.384630e+002 ;  4.522692e-002 ;  4.523967e-002 ;  4.582196e-003 ;  4.526117e-002 ;  4.559404e-002 
 2.934870e+002 ;  3.289843e-001 ;  3.299070e-001 ;  2.196310e+000 ;  3.308497e-001 ;  3.353442e-001 
 4.224030e+002 ;  5.368753e-002 ;  1.184341e-001 ;  2.628396e-002 ;  1.195430e-001 ;  5.277273e-002 
 4.224260e+002 ;  1.199732e-001 ;  5.376929e-002 ;  2.632804e-002 ;  5.448584e-002 ;  1.225950e-001 
 7.393300e+002 ;  1.769484e+000 ;  9.815524e-001 ;  6.976654e-002 ;  9.659202e-001 ;  1.806489e+000 
 7.405330e+002 ;  9.745624e-001 ;  1.781077e+000 ;  6.905188e-002 ;  1.780797e+000 ;  9.783346e-001 
 7.722250e+002 ;  9.895012e-002 ;  8.528246e-002 ;  2.141930e+000 ;  7.633601e-002 ;  6.972005e-002 
 8.405570e+002 ;  5.997439e-002 ;  5.344092e-002 ;  9.098667e-003 ;  5.827815e-002 ;  5.449186e-002 
