HEADER
FILENAME:      /command12.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.637350e+002 ;  1.043254e+000 ;  1.043374e+000 ;  1.125647e-004 ;  1.043454e+000 ;  1.043474e+000 
 2.384610e+002 ;  4.526763e-002 ;  4.550580e-002 ;  4.991439e-003 ;  4.523020e-002 ;  4.522600e-002 
 2.934930e+002 ;  3.289062e-001 ;  3.337689e-001 ;  2.195520e+000 ;  3.298262e-001 ;  3.299922e-001 
 4.221540e+002 ;  6.742152e-002 ;  1.174513e-001 ;  2.712694e-002 ;  1.126306e-001 ;  7.122214e-002 
 4.224840e+002 ;  1.111007e-001 ;  7.026596e-002 ;  2.621968e-002 ;  6.998124e-002 ;  1.109515e-001 
 7.397460e+002 ;  9.322997e-001 ;  1.820648e+000 ;  7.493644e-002 ;  1.799555e+000 ;  9.133355e-001 
 7.406080e+002 ;  1.808136e+000 ;  9.243734e-001 ;  6.909148e-002 ;  9.225096e-001 ;  1.808977e+000 
 7.722080e+002 ;  7.885938e-002 ;  9.795178e-002 ;  2.144520e+000 ;  5.224518e-002 ;  9.500071e-002 
 8.407610e+002 ;  5.360730e-002 ;  5.371737e-002 ;  1.733132e-003 ;  5.624230e-002 ;  5.565083e-002 
