HEADER
FILENAME:      /command47.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.637280e+002 ;  1.043494e+000 ;  1.043594e+000 ;  2.660759e-004 ;  1.043463e+000 ;  1.043214e+000 
 2.385910e+002 ;  4.526327e-002 ;  4.529515e-002 ;  1.567743e-003 ;  4.526124e-002 ;  4.527122e-002 
 2.936330e+002 ;  3.303021e-001 ;  3.303684e-001 ;  2.196270e+000 ;  3.301449e-001 ;  3.302170e-001 
 4.224350e+002 ;  7.725400e-002 ;  1.070914e-001 ;  2.625167e-002 ;  1.057533e-001 ;  7.835938e-002 
 4.225480e+002 ;  1.067908e-001 ;  7.859032e-002 ;  2.630262e-002 ;  7.818240e-002 ;  1.066806e-001 
 7.405790e+002 ;  1.235084e-001 ;  2.027449e+000 ;  6.922404e-002 ;  2.025849e+000 ;  1.252472e-001 
 7.407110e+002 ;  2.027080e+000 ;  1.237711e-001 ;  6.932691e-002 ;  1.243629e-001 ;  2.026189e+000 
 7.725380e+002 ;  7.596496e-002 ;  8.530772e-002 ;  2.143910e+000 ;  7.626267e-002 ;  8.839004e-002 
 8.409120e+002 ;  5.375455e-002 ;  5.379822e-002 ;  3.481422e-003 ;  5.367318e-002 ;  5.360145e-002 
