HEADER
FILENAME:      /command90.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.636720e+002 ;  1.043584e+000 ;  1.043473e+000 ;  6.551517e-004 ;  1.043443e+000 ;  1.043287e+000 
 2.384310e+002 ;  4.523785e-002 ;  4.524321e-002 ;  4.023133e-004 ;  4.526223e-002 ;  4.531122e-002 
 2.932480e+002 ;  3.293767e-001 ;  3.282700e-001 ;  2.195670e+000 ;  3.296414e-001 ;  3.374382e-001 
 4.220840e+002 ;  1.241729e-001 ;  4.938342e-002 ;  2.785318e-002 ;  4.992598e-002 ;  1.270746e-001 
 4.225000e+002 ;  4.971652e-002 ;  1.214240e-001 ;  2.622167e-002 ;  1.213328e-001 ;  4.977750e-002 
 7.389750e+002 ;  1.825195e+000 ;  8.718078e-001 ;  6.908286e-002 ;  8.580139e-001 ;  1.851566e+000 
 7.403610e+002 ;  8.653249e-001 ;  1.834574e+000 ;  6.910361e-002 ;  1.838257e+000 ;  8.664724e-001 
 7.723350e+002 ;  8.806361e-002 ;  8.758426e-002 ;  2.143440e+000 ;  7.562087e-002 ;  7.852794e-002 
 8.409400e+002 ;  5.409751e-002 ;  5.385689e-002 ;  2.379527e-003 ;  5.441255e-002 ;  5.366514e-002 
