HEADER
FILENAME:      /command15.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.637290e+002 ;  1.043523e+000 ;  1.043484e+000 ;  7.014492e-004 ;  1.043424e+000 ;  1.043713e+000 
 2.383980e+002 ;  4.521184e-002 ;  4.525799e-002 ;  7.734600e-003 ;  4.524440e-002 ;  4.541710e-002 
 2.934120e+002 ;  3.292025e-001 ;  3.290688e-001 ;  2.195930e+000 ;  3.302972e-001 ;  3.318231e-001 
 4.221760e+002 ;  8.808691e-002 ;  9.599997e-002 ;  2.704029e-002 ;  1.001584e-001 ;  8.814294e-002 
 4.224680e+002 ;  9.913304e-002 ;  8.635691e-002 ;  2.623432e-002 ;  8.589374e-002 ;  9.998233e-002 
 7.398440e+002 ;  1.842923e+000 ;  8.450689e-001 ;  6.992067e-002 ;  8.300964e-001 ;  1.853809e+000 
 7.406470e+002 ;  8.370290e-001 ;  1.850224e+000 ;  6.895058e-002 ;  1.849875e+000 ;  8.375041e-001 
 7.724070e+002 ;  7.252526e-002 ;  8.058709e-002 ;  2.143850e+000 ;  8.689606e-002 ;  8.789189e-002 
 8.406800e+002 ;  5.716380e-002 ;  5.367714e-002 ;  1.137709e-003 ;  5.563783e-002 ;  5.389121e-002 
