HEADER
FILENAME:      /command80.fbd
DATE:          17.8.2022
DATASET-NAME:  DISP    
DATASET-ENTITY:ALL     
--------------------------------------------------------

TIME INCREMENT / NODE
              ;            18 ;            19 ;            20 ;            21 ;            22 
 1.637120e+002 ;  1.043504e+000 ;  1.043453e+000 ;  4.566708e-004 ;  1.043473e+000 ;  1.042866e+000 
 2.385240e+002 ;  4.524993e-002 ;  4.525946e-002 ;  2.123709e-004 ;  4.525169e-002 ;  4.524997e-002 
 2.934790e+002 ;  3.298759e-001 ;  3.300918e-001 ;  2.195230e+000 ;  3.290538e-001 ;  3.343541e-001 
 4.222370e+002 ;  1.230583e-001 ;  5.014043e-002 ;  2.695777e-002 ;  4.960288e-002 ;  1.264891e-001 
 4.225210e+002 ;  5.001589e-002 ;  1.218267e-001 ;  2.624013e-002 ;  1.218555e-001 ;  5.007659e-002 
 7.393650e+002 ;  1.717510e+000 ;  1.062548e+000 ;  7.085598e-002 ;  1.072689e+000 ;  1.738588e+000 
 7.405810e+002 ;  1.068822e+000 ;  1.727271e+000 ;  6.898346e-002 ;  1.725110e+000 ;  1.070354e+000 
 7.723820e+002 ;  7.321426e-002 ;  8.561165e-002 ;  2.144190e+000 ;  8.071221e-002 ;  8.746429e-002 
 8.409650e+002 ;  5.423718e-002 ;  5.423409e-002 ;  3.116949e-004 ;  5.362050e-002 ;  5.353898e-002 
